Accuracy,Loss,Classification_Loss,Robustness_Loss,Concept_Loss,Step
0.09999999403953552,2.8100368976593018,2.313546657562256,5.193969249725342,0.49597078561782837,1
0.5999999642372131,1.6456692218780518,1.2042003870010376,61.67219161987305,0.43530169129371643,101
0.7949999570846558,1.06654953956604,0.6711350083351135,101.81047058105469,0.38523346185684204,201
0.8149999976158142,0.9418376684188843,0.5765784382820129,107.10083770751953,0.3545491695404053,271
0.8700000047683716,0.851401150226593,0.5144321322441101,123.87705993652344,0.3245813250541687,371
0.8949999809265137,0.6599441766738892,0.33021366596221924,121.00186920166016,0.3176303505897522,471
0.8999999761581421,0.7077001333236694,0.3762599229812622,129.40093994140625,0.3185001015663147,541
0.9199999570846558,0.6186162233352661,0.31044870615005493,137.0315399169922,0.2944643199443817,641
0.9199999570846558,0.5435886979103088,0.23487146198749542,138.11032104492188,0.2949061989784241,741
0.9350000023841858,0.5013671517372131,0.20306888222694397,140.36593627929688,0.28426167368888855,811
0.9300000071525574,0.6362012624740601,0.3204958438873291,143.95040893554688,0.3013104200363159,911
0.9149999618530273,0.5534259676933289,0.2481200098991394,148.60206604003906,0.2904457449913025,1011
0.9599999785423279,0.49771690368652344,0.20103956758975983,144.33326721191406,0.2822440266609192,1081
0.9350000023841858,0.5304117202758789,0.23447225987911224,160.0225372314453,0.279937207698822,1181
0.9649999737739563,0.46408653259277344,0.16151422262191772,148.7539825439453,0.287696897983551,1281
0.9350000023841858,0.4759994447231293,0.17524895071983337,154.4144744873047,0.2853090465068817,1351
0.9449999928474426,0.4972442388534546,0.2127072513103485,160.9511260986328,0.2684418559074402,1451
0.8999999761581421,0.5439473390579224,0.2524339556694031,163.6135711669922,0.2751520276069641,1551
0.9699999690055847,0.4020596444606781,0.11336126178503036,153.189453125,0.27337944507598877,1621
0.9599999785423279,0.44081926345825195,0.15162542462348938,154.4287872314453,0.2737509608268738,1721
0.9449999928474426,0.49602216482162476,0.21678295731544495,159.7028045654297,0.26326891779899597,1821
0.9649999737739563,0.3931558132171631,0.10489825904369354,166.33627319335938,0.2716239094734192,1891
0.9549999833106995,0.4493277370929718,0.16555291414260864,183.05397033691406,0.26546943187713623,1991
0.9599999785423279,0.43028777837753296,0.1557122766971588,171.27542114257812,0.2574479579925537,2091
0.9749999642372131,0.3511973023414612,0.07696690410375595,166.995361328125,0.2575308680534363,2161
0.9749999642372131,0.39224687218666077,0.11222579330205917,159.23715209960938,0.2640973627567291,2261
