Accuracy,Loss,Classification_Loss,Robustness_Loss,Concept_Loss,Step
0.125,3.4257071018218994,2.301656723022461,6.806493282318115,1.1233696937561035,1
0.6150000095367432,2.0268049240112305,1.1946122646331787,53.436622619628906,0.8268489837646484,101
0.8050000071525574,1.3716392517089844,0.5710340142250061,71.69654846191406,0.7934355735778809,201
0.14000000059604645,3.419170379638672,2.295109748840332,6.909630298614502,1.1233696937561035,1
0.699999988079071,1.8248039484024048,0.9937059283256531,50.879207611083984,0.8260101079940796,101
0.14499999582767487,3.4212074279785156,2.297153949737549,6.837338924407959,1.123369812965393,1
0.6800000071525574,1.9065935611724854,1.0756428241729736,53.04643630981445,0.8256460428237915,101
0.8199999928474426,1.4160079956054688,0.6164332032203674,70.06668853759766,0.7925680875778198,201
0.14499999582767487,3.4212074279785156,2.297153949737549,6.837338924407959,1.123369812965393,1
0.6800000071525574,1.9062473773956299,1.0753175020217896,53.00360107421875,0.825629472732544,101
0.8199999928474426,1.4158881902694702,0.6163151264190674,70.14960479736328,0.7925580739974976,201
0.14499999582767487,3.4212074279785156,2.297153949737549,6.837338924407959,1.123369812965393,1
0.6800000071525574,1.906433343887329,1.0754867792129517,53.04297637939453,0.8256422281265259,101
0.824999988079071,1.4161396026611328,0.6165422797203064,70.17034912109375,0.7925803661346436,201
0.8349999785423279,1.3012440204620361,0.5429575443267822,70.05193328857422,0.751281201839447,271
0.8549999594688416,1.1472432613372803,0.42151519656181335,79.25845336914062,0.7178021669387817,371
0.8949999809265137,1.0854471921920776,0.3712776303291321,81.40729522705078,0.7060288190841675,471
0.9049999713897705,1.0718295574188232,0.34910473227500916,81.48951721191406,0.7145758867263794,541
0.9099999666213989,1.0157265663146973,0.33883243799209595,88.55847930908203,0.6680383086204529,641
0.9300000071525574,0.9524868726730347,0.2690149247646332,81.52225494384766,0.6753197312355042,741
0.9599999785423279,0.8279433250427246,0.17543934285640717,83.67178344726562,0.6441367864608765,811
0.8849999904632568,1.0066869258880615,0.3099173903465271,83.67168426513672,0.6884024143218994,911
0.9199999570846558,0.92704176902771,0.255832314491272,88.63421630859375,0.6623460054397583,1011
0.9399999976158142,0.8587871789932251,0.19456256926059723,88.09851837158203,0.6554147601127625,1081
0.9149999618530273,0.9980900883674622,0.34961754083633423,85.73959350585938,0.6398985981941223,1181
0.9399999976158142,0.8762513399124146,0.19595283269882202,76.4671401977539,0.6726518273353577,1281
